#GSC - 142
GSC142-BACARDI.gsc.ncl.com	10.142.0.16
GSC142-BERTRUM.gsc.ncl.com	10.142.0.14
GSC142-C-0101-FW01.gsc.ncl.com	10.142.0.47
GSC142-C-0101-FW02.gsc.ncl.com	10.142.0.48
GSC142-CABANAS.gsc.ncl.com	10.142.0.18
GSC142-DATACENTER.GSC.ncl.com	10.142.0.133
GSC142-DC2-SW02.nclmiami.ncl.com	10.142.0.45
GSC142-DIRECTOR-HOUSE.gsc.ncl.com	10.142.0.31
GSC142-DORM1.gsc.ncl.com	10.142.0.23
GSC142-DORM2.gsc.ncl.com	10.142.0.24
GSC142-DORM3.gsc.ncl.com	10.142.0.22
GSC142-DORM4.gsc.ncl.com	10.142.0.25
GSC142-DORM5.gsc.ncl.com	10.142.0.44
GSC142-DORM6.gsc.ncl.com	10.142.0.51
GSC142-DORM7.gsc.ncl.com	10.142.0.52
GSC142-GENERATOR.gsc.ncl.com	10.142.0.33
GSC142-GUESTHOUSE.gsc.ncl.com	10.142.0.29
GSC142-ISP-PBE.gsc.ncl.com	10.142.0.88
GSC142-ISP-PBW.gsc.ncl.com	10.142.0.89
GSC142-ISP-RRE.gsc.ncl.com	10.142.0.76
GSC142-ISP-RRW.gsc.ncl.com	10.142.0.75
GSC142-ISP-SPB.gsc.ncl.com	10.142.0.80
GSC142-ISP-SS13-01.gsc.ncl.com	10.142.0.73
GSC142-ISP-SS13-02.gsc.ncl.com	10.142.0.74
GSC142-ISP-SW01.gsc.ncl.com	10.142.0.77
GSC142-ISP-SW02.gsc.ncl.com	10.142.0.78
GSC142-ISP-SW03.gsc.ncl.com	10.142.0.79
GSC142-ISP-SW04.gsc.ncl.com	10.142.0.87
GSC142-JETSKI.gsc.ncl.com	10.142.0.17
GSC142-LAGOONVILLAS1.gsc.ncl.com	10.142.0.35
GSC142-LAGOONVILLAS2.gsc.ncl.com	10.142.0.39
GSC142-LAGOONVILLAS3.gsc.ncl.com	10.142.0.40
GSC142-LAUNDRY.gsc.ncl.com	10.142.0.42
GSC142-LIGHTHOUSE.gsc.ncl.com	10.142.0.19
GSC142-MAINTENANCE.gsc.ncl.com	10.142.0.27
GSC142-MEDICAL.gsc.ncl.com	10.142.0.26
GSC142-MOETBAR.gsc.ncl.com	10.142.0.46
GSC142-NX-A	10.142.0.7
GSC142-NX-B	10.142.0.8
GSC142-OCEANVILLAS.GSC.ncl.com	10.142.0.32
GSC142-OPPS.GSC.ncl.com	10.142.0.43
GSC142-PATRON.gsc.ncl.com	10.142.0.12
GSC142-PAXDINING.gsc.ncl.com	10.142.0.20
GSC142-RECEPTION.gsc.ncl.com	10.142.0.34
GSC142-RECREATION.gsc.ncl.com	10.142.0.30
GSC142-SECURITY.gsc.ncl.com	10.142.0.15
GSC142-SILVERCOVE.gsc.ncl.com	10.142.0.50
GSC142-SILVERPALM.gsc.ncl.com	10.142.0.38
GSC142-SNORKEL.gsc.ncl.com	10.142.0.13
GSC142-SPA.gsc.ncl.com	10.142.0.37
GSC142-STAFFKITCHEN.gsc.ncl.com	10.142.0.28
GSC142-TACOBAR.gsc.ncl.com	10.142.0.11
GSC142-TENDER.gsc.ncl.com	10.142.0.21
GSC142-VSS-CORE.nclmiami.ncl.com	10.142.0.10
GSC142-WC-SS11-01.gsc.ncl.com	10.142.0.81
GSC142-WC-SW01.gsc.ncl.com	10.142.0.84
GSC142-WC-SW02.gsc.ncl.com	10.142.0.85
GSC142-WC-SW03.gsc.ncl.com	10.142.0.86
GSC142-WC-WCRR.gsc.ncl.com	10.142.0.83
GSC142-WL-0101-PMC	10.142.50.250
GSC142-WL-0101-SMC	10.142.50.251
GSC-Access-SW-CONS_TRAILER.gsc.ncl.com	10.142.0.134
GSCCSPC01V	10.142.0.55
GSCISE01P	10.142.0.110
GSCISE02P	10.142.0.109
GSC-MM-PRI	10.142.0.248
GSC-MM-SEC	10.142.0.249
GSC-MM-VIP	10.142.0.250
GSCSDWAN01P	10.142.0.2
GSCSDWAN02P	10.142.0.3
GSC-STRLK-SW01.nclmiami.ncl.com	10.142.0.61
GSC-STRLK-SW02.nclmiami.ncl.com	10.142.0.62
GSC-WLC-PRI	10.142.0.252
GSC-WLC-SEC	10.142.0.253
GSC-WLC-VIP	10.142.0.251

