Hostname/IP Address,Folder,Session Name,Protocol,Emulation,Username
10.78.0.47,Luna - 78,LUNA-FW01_10.78.0.47,SSH2,Xterm,
10.78.0.48,Luna - 78,LUNA-FW02_10.78.0.48,SSH2,Xterm,
10.78.200.8,Luna - 78,LUN-APIC01P_10.78.200.8,SSH2,Xterm,
10.78.200.18,Luna - 78,LUN-APIC01P-CIMC_10.78.200.18,SSH2,Xterm,
10.78.200.13,Luna - 78,LUN-APIC02P_10.78.200.13,SSH2,Xterm,
10.78.200.23,Luna - 78,LUN-APIC02P-CIMC_10.78.200.23,SSH2,Xterm,
10.78.200.14,Luna - 78,LUN-APIC03P_10.78.200.14,SSH2,Xterm,
10.78.200.24,Luna - 78,LUN-APIC03P-CIMC_10.78.200.24,SSH2,Xterm,
10.78.0.95,Luna - 78,LUNCCC01P_10.78.0.95,SSH2,Xterm,
10.78.200.95,Luna - 78,LUNCCC01P-CIMC_10.78.200.95,SSH2,Xterm,
10.78.0.96,Luna - 78,LUNCCC02P_10.78.0.96,SSH2,Xterm,
10.78.200.96,Luna - 78,LUNCCC02P-CIMC_10.78.200.96,SSH2,Xterm,
10.78.0.97,Luna - 78,LUNCCC03P_10.78.0.97,SSH2,Xterm,
10.78.200.97,Luna - 78,LUNCCC03P-CIMC_10.78.200.97,SSH2,Xterm,
10.78.0.49,Luna - 78,LUNFORTINETAZ01V_10.78.0.49,SSH2,Xterm,
10.78.1.1,Luna - 78,LUN-FUSION_10.78.1.1,SSH2,Xterm,
10.78.1.101,Luna - 78,LUN-HUB103_10.78.1.101,SSH2,Xterm,
10.78.1.102,Luna - 78,LUN-HUB105_10.78.1.102,SSH2,Xterm,
10.78.1.103,Luna - 78,LUN-HUB109_10.78.1.103,SSH2,Xterm,
10.78.1.104,Luna - 78,LUN-HUB112_10.78.1.104,SSH2,Xterm,
10.78.1.105,Luna - 78,LUN-HUB115_10.78.1.105,SSH2,Xterm,
10.78.1.106,Luna - 78,LUN-HUB117_10.78.1.106,SSH2,Xterm,
10.78.1.107,Luna - 78,LUN-HUB203A_10.78.1.107,SSH2,Xterm,
10.78.1.108,Luna - 78,LUN-HUB203B_10.78.1.108,SSH2,Xterm,
10.78.1.109,Luna - 78,LUN-HUB205_10.78.1.109,SSH2,Xterm,
10.78.1.110,Luna - 78,LUN-HUB209_10.78.1.110,SSH2,Xterm,
10.78.1.111,Luna - 78,LUN-HUB212_10.78.1.111,SSH2,Xterm,
10.78.1.143,Luna - 78,LUN-HUB212B_10.78.1.143,SSH2,Xterm,
10.78.1.112,Luna - 78,LUN-HUB214_10.78.1.112,SSH2,Xterm,
10.78.1.113,Luna - 78,LUN-HUB217A_10.78.1.113,SSH2,Xterm,
10.78.1.114,Luna - 78,LUN-HUB217B_10.78.1.114,SSH2,Xterm,
10.78.1.115,Luna - 78,LUN-HUB303A_10.78.1.115,SSH2,Xterm,
10.78.1.116,Luna - 78,LUN-HUB303B_10.78.1.116,SSH2,Xterm,
10.78.1.117,Luna - 78,LUN-HUB305_10.78.1.117,SSH2,Xterm,
10.78.1.118,Luna - 78,LUN-HUB306A_10.78.1.118,SSH2,Xterm,
10.78.1.119,Luna - 78,LUN-HUB306B_10.78.1.119,SSH2,Xterm,
10.78.1.120,Luna - 78,LUN-HUB309A_10.78.1.120,SSH2,Xterm,
10.78.1.121,Luna - 78,LUN-HUB309B_10.78.1.121,SSH2,Xterm,
